state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,eligible,information not available,not eligible,postal,ap_abbr
Alabama,,,204.033482170159,204.768142386804,,229.748211693085,209.037251689073,,235.478157187228,Ala.,AL
Alaska,174.924436198312,197.177036028026,206.136666347644,211.585774335882,216.242569581972,223.234584051288,191.260616723665,,223.01604871751,Alaska,AK
Arizona,184.502227328964,225.959306171952,203.74649579097,203.103363954412,,225.004295754665,201.751240470106,225.009469651331,227.041339143609,Ariz.,AZ
Arkansas,,220.169674922066,197.107552532743,204.408011171425,,224.335759674802,207.400959586107,,232.940331898324,Ark.,AR
California,,232.887668431407,208.176333000593,198.043160633063,230.183739051049,228.960220206874,198.015009198618,198.169549132424,230.241844991166,Calif.,CA
Colorado,,233.812614696282,207.405968343984,202.986901142614,232.212933714513,235.657075245497,205.45321513171,,238.852788666829,Colo.,CO
Connecticut,,240.826348941269,204.43762020477,203.961250006315,238.04672737148,238.698971764211,205.245963485039,,240.576556792717,Conn.,CT
Delaware,,240.089202213635,214.584055486233,213.536390975361,226.756148647967,233.856394848296,213.552118881868,,236.436333500313,Del.,DE
District of Columbia,,,193.341579314083,202.116186784074,,255.23937652573,190.628593318732,,229.697682417573,D.C.,DC
DoDEA,,231.276113381881,222.239146550207,225.973426643651,230.497384450752,232.898964727582,,,,,
Florida,,244.446994554472,209.488344716932,219.858965687294,235.382305218801,234.916421983335,215.855335413302,,238.657680891398,Fla.,FL
Georgia,,241.818794286239,207.942912262415,214.377226921667,216.772491044063,230.870785146863,209.300598892791,,234.955006904169,Ga.,GA
Hawaii,,211.219965866103,215.447670499643,208.642730909192,213.377110035445,226.032626240965,200.891114072035,,225.412395160445,Hawaii,HI
Idaho,,224.196704927864,,201.488744162678,,225.36892153724,210.355288619601,,231.220573226221,Idaho,ID
Illinois,,236.862908756174,198.362018530592,203.883681887066,224.791125423225,231.026909837315,202.716771162597,,235.132644325505,Ill.,IL
Indiana,,,202.591306661953,203.300012148919,216.530931831851,225.991566546401,209.821310812717,,232.283659603306,Ind.,IN
Iowa,,227.163343725939,192.727013475025,200.914473799924,219.764895749074,224.863543447807,205.687264495808,,231.354667388712,Iowa,IA
Kansas,,228.319379286865,203.756160286748,208.657259166968,225.165775448832,228.831650791784,211.646417027282,,235.698720732803,Kan.,KS
Kentucky,,249.132732562186,210.156825450526,222.246483116823,233.376513061202,226.349162269225,215.562076505943,,236.271901586071,Ky.,KY
Louisiana,,,197.121093617235,208.381269063123,,222.562717882824,202.347427085593,,228.423571617151,La.,LA
Maine,,218.667324688349,192.319716052814,,,223.327421297131,210.393049715952,,231.877122687683,Maine,ME
Maryland,,251.246724329352,213.468293887217,225.526171193888,235.370986173803,241.921447134953,214.593872325315,,241.963130622165,Md.,MD
Massachusetts,,242.810458867998,215.535028467042,215.977545838249,245.888300202833,243.001407945679,218.483896671022,,245.881440641015,Mass.,MA
Michigan,,236.008451658009,191.704752255692,206.293797292509,223.197268213133,225.409994907796,204.513707587338,,230.722424168343,Mich.,MI
Minnesota,195.158913109815,216.69698101518,199.49774860608,200.510198085745,208.794428073541,229.378507080926,204.65120839917,,233.093680379474,Minn.,MN
Mississippi,,,197.640010010578,202.905206213612,,219.605871510362,201.828274096095,,228.629912186514,Miss.,MS
Missouri,,232.872074884401,198.845470822371,208.637350342551,,225.595096940043,206.752835197435,,234.353190464162,Mo.,MO
Montana,199.504344183279,,,217.409380384641,,228.826415090785,213.95937641591,,233.460842938832,Mont.,MT
Nation,203.636492280919,234.258083441084,204.906935815768,205.437820750552,225.439846259378,229.723264976479,206.891525553684,224.078724098964,234.383173538853,U.S.,US
Nebraska,,234.226669641725,199.14137585562,208.126125311739,215.706314111538,229.672951970878,208.749691478017,,234.159025485195,Neb.,NE
Nevada,,221.615409658815,201.883831613624,203.416118592723,222.998840389482,223.611402667141,201.949672076482,,226.845529490647,Nev.,NV
New Hampshire,,233.635318608192,,216.567722252346,,231.223922880064,215.912284292025,,235.520842283729,N.H.,NH
New Jersey,,247.476801792499,215.641602647918,216.105250910304,,238.965066757447,214.92939096178,,240.326727046472,N.J.,NJ
New Mexico,192.532245450952,222.250043877963,208.019731135521,201.824258910039,,224.694914342539,200.125129116539,,226.844118454918,N.M.,NM
New York,,234.634153493827,208.142095911936,208.566860324319,,232.158043407265,211.705030350741,235.69084815301,235.569131505208,N.Y.,NY
North Carolina,192.22605700449,235.571498967184,205.713188598505,206.570097184061,222.292761769654,232.251503247327,208.259570663227,,236.0454219923,N.C.,NC
North Dakota,206.272642234191,,219.63423487078,214.299563202141,,227.971113869025,216.101770618883,,230.680372543965,N.D.,ND
Ohio,,,203.670818681601,210.8079706473,218.731087192189,229.234411553058,211.509383247961,,234.960150853614,Ohio,OH
Oklahoma,212.204558059372,224.934844164022,199.255768740273,206.872014674867,,221.2926326827,207.804482139925,,227.862187747585,Okla.,OK
Oregon,213.01535904217,229.750870200167,201.965670819356,196.160951616637,225.123703683429,222.287098701922,204.246963111564,,230.440679572667,Ore.,OR
Pennsylvania,,242.454211715764,204.281560183972,202.207308488334,231.993853007063,233.44065204206,210.810783704425,,238.131475829256,Pa.,PA
Rhode Island,,232.334908604195,207.653178151691,203.984807011391,226.774745612751,230.233191114616,208.073867543512,,234.558222123493,R.I.,RI
South Carolina,,,199.115428354361,207.778681711783,211.79848569898,225.621709376916,202.437818257955,,231.242733640698,S.C.,SC
South Dakota,196.830045112113,,203.815028546597,206.884573270114,,224.798125516153,207.044958379414,,229.353551143795,S.D.,SD
Tennessee,,234.002476523023,198.137196494175,201.259492397404,,220.747595328754,204.041669968848,,229.513774554381,Tenn.,TN
Texas,,246.616421503512,210.35686277928,209.718432799665,226.236472093158,232.624263495415,208.913711800502,,234.499931038883,Texas,TX
Utah,186.965609368036,216.651522719605,,196.29421021761,,225.754780979869,206.367678877037,,229.019832067563,Utah,UT
Vermont,,,205.12599982851,,222.990378693096,227.704779949329,212.789122077487,,236.165605342285,Vt.,VT
Virginia,,235.961784749585,209.579663689758,208.958262700324,228.560997000877,234.846095481659,207.038664148814,,237.178638537791,Va.,VA
Washington,201.672371919228,227.193065572518,208.833634166018,199.374000667466,221.128968805815,228.855117178097,204.302157368855,,234.854892761315,Wash.,WA
West Virginia,,,196.340138521068,,,215.610420711061,204.471261929891,,225.31098714188,W.Va.,WV
Wisconsin,,224.644960794749,196.48038988868,202.379868093213,,226.794930486071,206.289216723098,,231.967184816404,Wis.,WI
Wyoming,192.251471922204,,,212.699679963032,,227.33017464301,214.392698260599,,230.732097625671,Wyo.,WY
