state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,eligible,information not available,not eligible,postal,ap_abbr
Alabama,,,218.72344234637,217.794825196037,,241.83711522953,224.776022071095,,247.248782913367,Ala.,AL
Alaska,207.875412924451,227.02774464328,222.578070999854,224.391767613158,233.716916431782,243.717501081515,218.728109263369,,242.082479899609,Alaska,AK
Arizona,223.46173732249,252.980796113099,215.947400890347,225.908444844637,,247.166537454964,224.214263694466,250.449672990437,250.67234436357,Ariz.,AZ
Arkansas,,235.857333523781,214.300828223358,230.351370954016,,240.277273176548,226.625414827547,,247.625031054839,Ark.,AR
California,,258.0060462052,217.529701776896,222.524991545612,246.688470364391,245.352838215059,221.47975119119,232.909612020309,250.458031438545,Calif.,CA
Colorado,,250.445475269991,222.682144143515,226.243074074465,248.54125406595,250.269303523605,226.333067151347,244.727266805278,252.125764470768,Colo.,CO
Connecticut,,258.210844625468,222.160905883123,222.919608106801,252.173431961217,248.635147768429,224.420694998054,,249.455274760983,Conn.,CT
Delaware,,266.201713140653,222.385157388614,228.813919169663,236.791133687502,246.230905377218,224.788192868835,,245.485281284786,Del.,DE
District of Columbia,,,223.576611452373,230.175453916256,,271.921870576756,222.917072072201,,260.822327458665,D.C.,DC
DoDEA,,253.827843727583,238.856783862595,243.596517647362,251.181562087172,252.226543009345,,,,,
Florida,,266.644579862243,233.337960478377,241.558206783307,258.557625687178,255.111934085335,239.041845047284,,257.33499055565,Fla.,FL
Georgia,,272.188009103386,223.28742631229,228.454112409116,241.376127338601,247.009038373278,225.771643863401,,255.310178355712,Ga.,GA
Hawaii,,236.347680116792,,232.454367397746,241.224174070752,248.144836248693,228.351997375051,,246.708866324788,Hawaii,HI
Idaho,,,,221.53392153158,,244.348480486382,231.18948908038,242.538825818357,249.473797664038,Idaho,ID
Illinois,,263.121381532327,217.015340651942,226.636858470663,242.684653339503,249.033325307898,223.720750898297,,253.098006855696,Ill.,IL
Indiana,,,225.812638334826,233.882787152472,243.734450863314,251.22960030435,235.451543807312,,257.832438207274,Ind.,IN
Iowa,,,214.913399812518,231.285914422225,234.424060910053,247.386298862467,229.730477604814,,253.879085890014,Iowa,IA
Kansas,,249.274698983751,222.541507869522,232.649506928846,240.235993846489,245.635169049802,230.735667769021,,251.588905712906,Kan.,KS
Kentucky,,263.925991180575,217.527955444704,229.57918976285,233.284384722463,242.841399282202,230.399336705106,,251.616137928847,Ky.,KY
Louisiana,,,215.839642669937,223.723472267144,,242.279910026897,222.982519412326,222.469074886402,245.474741681152,La.,LA
Maine,,,216.275900712484,,238.681634486606,241.20872977527,228.199888538965,,249.843304116979,Maine,ME
Maryland,,263.554057318211,226.376617316914,228.878698493597,243.813472625578,254.272153763275,224.905952994474,218.749641967326,255.090970568963,Md.,MD
Massachusetts,,262.342156316768,229.136560566464,234.161609613233,257.696381799455,255.10664196246,232.49575639401,,256.904997095437,Mass.,MA
Michigan,,261.249274145223,211.099966264746,222.843862570549,239.370804436645,241.658945424405,221.808765440435,,248.744022865752,Mich.,MI
Minnesota,,246.077428474156,222.462656019829,228.852097800976,248.65476479801,256.073211163232,230.59838339186,,260.030030352695,Minn.,MN
Mississippi,,,224.206371328782,238.639044823934,,246.350116624336,229.293010653942,,254.383833420698,Miss.,MS
Missouri,,,216.172736915637,227.476676881136,238.968542165843,245.021852507252,228.104814811112,,252.39620251922,Mo.,MO
Montana,216.413455415423,,,229.976831093305,239.34475249569,245.087392988549,232.291289459037,,249.563405005916,Mont.,MT
Nation,227.891926446157,258.018505614585,222.782594483189,229.101487348846,243.738552451037,247.917705821821,228.042095866198,238.375846448094,252.650879913852,U.S.,US
Nebraska,,255.781432371402,219.920767398502,233.339654572853,236.072771768168,252.151056181756,234.12601757072,,256.06626614552,Neb.,NE
Nevada,,251.597079473855,216.143041319239,225.258529386734,237.394013455009,241.075401033197,224.589648402913,,247.179518489323,Nev.,NV
New Hampshire,,261.167070123221,,226.982149059994,,246.143178311197,230.72372717578,,251.715159698961,N.H.,NH
New Jersey,,271.250033698949,228.138721486507,235.605267584464,,255.367958623481,231.156532658641,,257.778493373997,N.J.,NJ
New Mexico,217.522213229665,,,225.724566208206,,244.49735395624,224.10969370901,,248.118425967427,N.M.,NM
New York,,251.657119961355,224.46546419409,223.431305861689,,243.721248610259,226.04147962905,,246.186075555902,N.Y.,NY
North Carolina,,258.201895777231,224.427535517785,234.822578261712,241.90907009422,250.715930663257,231.572439843624,239.467872375756,251.662148986148,N.C.,NC
North Dakota,224.83621237606,,229.419292150818,230.516532070722,239.36074974968,248.084496725696,232.603674734348,,250.388225106294,N.D.,ND
Ohio,,262.801260489126,219.841301306166,229.098786600757,237.197695544175,246.235418729952,228.232547891215,,254.317162272073,Ohio,OH
Oklahoma,233.013077406462,,217.543779397231,229.734633604498,240.76130283501,243.636179795572,231.486444949067,,249.077790132616,Okla.,OK
Oregon,,245.731801891716,,218.468689300114,234.513728548561,238.776573363286,223.652578036448,,249.545837087595,Ore.,OR
Pennsylvania,,266.245653034911,216.083473955967,220.851528559406,233.554027852849,250.047651924044,227.792152745845,,256.092083872343,Pa.,PA
Rhode Island,,254.874821241922,225.09453281605,224.243567692981,237.909059154371,244.856524755935,225.346367473513,,250.057986052782,R.I.,RI
South Carolina,,,219.197372351839,230.255844349273,231.990318215711,244.784735267016,226.27043905009,224.093509042625,248.266290220036,S.C.,SC
South Dakota,220.114481811971,,218.99224694867,228.911819673809,239.557340880857,247.39751103401,229.573385577906,,250.328523367452,S.D.,SD
Tennessee,,,221.671424439242,225.547952975421,236.299782087686,243.543546355777,227.105411550992,,246.749931296296,Tenn.,TN
Texas,,264.85689885321,228.547856395973,235.844255672882,252.966182495829,252.645461065263,232.380799467662,,254.513633016507,Texas,TX
Utah,,231.493804150578,,226.171928903696,246.521558555539,246.925329463449,230.308763454274,,250.195418626512,Utah,UT
Vermont,,,226.186924207251,,239.2704833407,241.320456153402,228.530301742214,,249.379791223191,Vt.,VT
Virginia,,263.865146120183,230.991258611543,234.958751952107,250.92614276795,257.640387123411,233.510378206581,,257.434929261987,Va.,VA
Washington,,253.533759684003,227.813754458302,226.031920921309,248.081581854772,247.828393322773,228.388158372065,,252.287600386397,Wash.,WA
West Virginia,,,226.078809497594,,230.543971508645,236.575885099657,233.83759207128,,249.391806922763,W.Va.,WV
Wisconsin,,242.1583181621,210.960045821341,225.03941478176,240.433618187778,246.814019303948,225.372608653988,248.310866995405,250.810014179616,Wis.,WI
Wyoming,220.878858947189,,,237.277141375371,,250.395009209621,238.984074285319,,254.059305135108,Wyo.,WY
